id,start_time,duration,type,match_id,perspective,stream_file,stream_timestamp,UTC_timestamp
Ws92g,5930,3956,match,1,P2,2018-03-02_P2.mp4,01:38:50,2018-03-02 11:46:08+00:00
wBFTQ,5930,3956,match,1,P5,2018-03-02_P5.mp4,01:38:50,2018-03-02 11:46:08+00:00
sJgDN,5930,3956,match,1,P4,2018-03-02_P4.mp4,01:38:50,2018-03-02 11:46:10+00:00
ZWKdS,5930,3956,match,1,P8,2018-03-02_P8.mp4,01:38:50,2018-03-02 11:46:10+00:00
06PQc,5928,3956,match,1,P10,2018-03-02_P10.mp4,01:38:48,2018-03-02 11:46:10+00:00
NCUbo,5930,3956,match,1,P3,2018-03-02_P3.mp4,01:38:50,2018-03-02 11:46:11+00:00
XNDNy,5930,3956,match,1,P6,2018-03-02_P6.mp4,01:38:50,2018-03-02 11:46:11+00:00
MVP6K,5930,3956,match,1,P7,2018-03-02_P7.mp4,01:38:50,2018-03-02 11:46:11+00:00
HtOqg,5930,3956,match,1,P9,2018-03-02_P9.mp4,01:38:50,2018-03-02 11:46:11+00:00
GnGGQ,5928,3956,match,1,P12,2018-03-02_P12.mp4,01:38:48,2018-03-02 11:46:11+00:00
gI1T9,5932,3956,match,1,P1,2018-03-02_P1.mp4,01:38:52,2018-03-02 11:46:14+00:00
W5Fqn,2486,3956,match,1,P11,2018-03-02_P11.mp4,00:41:26,2018-03-02 11:46:17+00:00
1519993590388,4764,60,highlight,1,P11,2018-03-02_P11.mp4,01:19:24,2018-03-02 12:24:15+00:00
1519995087203,5012,45,highlight,1,P11,2018-03-02_P11.mp4,01:23:32,2018-03-02 12:28:23+00:00
1519995190510,6354,81,highlight,1,P11,2018-03-02_P11.mp4,01:45:54,2018-03-02 12:50:45+00:00
XS8lt,10278,4530,match,2,P2,2018-03-02_P2.mp4,02:51:18,2018-03-02 12:58:36+00:00
AA3Dh,10278,4530,match,2,P5,2018-03-02_P5.mp4,02:51:18,2018-03-02 12:58:36+00:00
ordBd,10278,4530,match,2,P4,2018-03-02_P4.mp4,02:51:18,2018-03-02 12:58:38+00:00
0Wp3F,10278,4530,match,2,P8,2018-03-02_P8.mp4,02:51:18,2018-03-02 12:58:38+00:00
2vmQH,10276,4530,match,2,P10,2018-03-02_P10.mp4,02:51:16,2018-03-02 12:58:38+00:00
bmuDV,10278,4530,match,2,P3,2018-03-02_P3.mp4,02:51:18,2018-03-02 12:58:39+00:00
lQj67,10278,4530,match,2,P6,2018-03-02_P6.mp4,02:51:18,2018-03-02 12:58:39+00:00
sAI1T,10278,4530,match,2,P7,2018-03-02_P7.mp4,02:51:18,2018-03-02 12:58:39+00:00
AG99S,10278,4530,match,2,P9,2018-03-02_P9.mp4,02:51:18,2018-03-02 12:58:39+00:00
FbR0H,10276,4530,match,2,P12,2018-03-02_P12.mp4,02:51:16,2018-03-02 12:58:39+00:00
CusK9,10280,4530,match,2,P1,2018-03-02_P1.mp4,02:51:20,2018-03-02 12:58:42+00:00
uPMsW,6834,4530,match,2,P11,2018-03-02_P11.mp4,01:53:54,2018-03-02 12:58:45+00:00
1519996244665,7342,35,match,2,P11,2018-03-02_P11.mp4,02:02:22,2018-03-02 13:07:13+00:00
1519997207718,11056,30,match,2,P8,2018-03-02_P8.mp4,03:04:16,2018-03-02 13:11:36+00:00
1519997100473,8274,13,match,2,P11,2018-03-02_P11.mp4,02:17:54,2018-03-02 13:22:45+00:00
1519997489097,8544,48,match,2,P11,2018-03-02_P11.mp4,02:22:24,2018-03-02 13:27:15+00:00
1519998467376,9396,53,match,2,P11,2018-03-02_P11.mp4,02:36:36,2018-03-02 13:41:27+00:00
1520000243534,11248,104,match,2,P11,2018-03-02_P11.mp4,03:07:28,2018-03-02 14:12:19+00:00
6KxIl,15204,7719,match,3,P2,2018-03-02_P2.mp4,04:13:24,2018-03-02 14:20:42+00:00
3giSq,15204,7719,match,3,P5,2018-03-02_P5.mp4,04:13:24,2018-03-02 14:20:42+00:00
ieVCc,15202,7719,match,3,P8,2018-03-02_P8.mp4,04:13:22,2018-03-02 14:20:42+00:00
AxaWi,15202,7719,match,3,P6,2018-03-02_P6.mp4,04:13:22,2018-03-02 14:20:43+00:00
YwVPo,15202,7719,match,3,P7,2018-03-02_P7.mp4,04:13:22,2018-03-02 14:20:43+00:00
gspOT,15202,7719,match,3,P9,2018-03-02_P9.mp4,04:13:22,2018-03-02 14:20:43+00:00
tFriw,15204,7719,match,3,P4,2018-03-02_P4.mp4,04:13:24,2018-03-02 14:20:44+00:00
bQqGw,15202,7719,match,3,P10,2018-03-02_P10.mp4,04:13:22,2018-03-02 14:20:44+00:00
gusSp,15204,7719,match,3,P3,2018-03-02_P3.mp4,04:13:24,2018-03-02 14:20:45+00:00
XpcrB,15202,7719,match,3,P12,2018-03-02_P12.mp4,04:13:22,2018-03-02 14:20:45+00:00
kYjit,15204,7719,match,3,P1,2018-03-02_P1.mp4,04:13:24,2018-03-02 14:20:46+00:00
1520000847989,11756,126,interview,3,P11,2018-03-02_P11.mp4,03:15:56,2018-03-02 14:20:47+00:00
w06ud,11758,7719,match,3,P11,2018-03-02_P11.mp4,03:15:58,2018-03-02 14:20:49+00:00
1520003148101,17726,21,highlight,3,P9,2018-03-02_P9.mp4,04:55:26,2018-03-02 15:02:47+00:00
1520004857014,15836,52,highlight,3,P11,2018-03-02_P11.mp4,04:23:56,2018-03-02 15:28:47+00:00
1520005301056,19498,22,lag,3,P6,2018-03-02_P6.mp4,05:24:58,2018-03-02 15:32:19+00:00
1520005914073,16960,48,highlight,3,P11,2018-03-02_P11.mp4,04:42:40,2018-03-02 15:47:31+00:00
1520006129880,17278,36,highlight,3,P11,2018-03-02_P11.mp4,04:47:58,2018-03-02 15:52:49+00:00
1520006405552,17494,58,highlight,3,P11,2018-03-02_P11.mp4,04:51:34,2018-03-02 15:56:25+00:00
1520006512211,17680,65,highlight,3,P11,2018-03-02_P11.mp4,04:54:40,2018-03-02 15:59:31+00:00
1520006713512,17924,60,highlight,3,P11,2018-03-02_P11.mp4,04:58:44,2018-03-02 16:03:35+00:00
1520007162990,18342,60,highlight,3,P11,2018-03-02_P11.mp4,05:05:42,2018-03-02 16:10:33+00:00
1520007663125,18772,95,highlight,3,P11,2018-03-02_P11.mp4,05:12:52,2018-03-02 16:17:43+00:00
1520008172438,18890,124,interview,3,P11,2018-03-02_P11.mp4,05:14:50,2018-03-02 16:19:41+00:00
1520008242695,19190,123,interview,3,P11,2018-03-02_P11.mp4,05:19:50,2018-03-02 16:24:41+00:00
1520008414285,19426,45,summary,3,P11,2018-03-02_P11.mp4,05:23:46,2018-03-02 16:28:37+00:00
cQBRP,25396,4335,match,4,P2,2018-03-02_P2.mp4,07:03:16,2018-03-02 17:10:34+00:00
1cutx,25396,4335,match,4,P5,2018-03-02_P5.mp4,07:03:16,2018-03-02 17:10:34+00:00
FmB3M,25396,4335,match,4,P4,2018-03-02_P4.mp4,07:03:16,2018-03-02 17:10:36+00:00
438lf,25396,4335,match,4,P8,2018-03-02_P8.mp4,07:03:16,2018-03-02 17:10:36+00:00
rOnyb,25394,4335,match,4,P10,2018-03-02_P10.mp4,07:03:14,2018-03-02 17:10:36+00:00
smLov,25396,4335,match,4,P3,2018-03-02_P3.mp4,07:03:16,2018-03-02 17:10:37+00:00
RovR9,25396,4335,match,4,P6,2018-03-02_P6.mp4,07:03:16,2018-03-02 17:10:37+00:00
xVOQ1,25396,4335,match,4,P7,2018-03-02_P7.mp4,07:03:16,2018-03-02 17:10:37+00:00
i886W,25396,4335,match,4,P9,2018-03-02_P9.mp4,07:03:16,2018-03-02 17:10:37+00:00
HhN2C,25394,4335,match,4,P12,2018-03-02_P12.mp4,07:03:14,2018-03-02 17:10:37+00:00
QQq81,25398,4335,match,4,P1,2018-03-02_P1.mp4,07:03:18,2018-03-02 17:10:40+00:00
ck2yD,21950,4335,match,4,P11,2018-03-02_P11.mp4,06:05:50,2018-03-02 17:10:41+00:00
1520011206046,22418,30,match_start,4,P11,2018-03-02_P11.mp4,06:13:38,2018-03-02 17:18:29+00:00
1520011256389,22484,21,highlight,4,P11,2018-03-02_P11.mp4,06:14:44,2018-03-02 17:19:35+00:00
1520012250731,23468,13,highlight,4,P11,2018-03-02_P11.mp4,06:31:08,2018-03-02 17:35:59+00:00
1520012542330,23678,99,highlight,4,P11,2018-03-02_P11.mp4,06:34:38,2018-03-02 17:39:29+00:00
1520012666574,23828,49,highlight,4,P11,2018-03-02_P11.mp4,06:37:08,2018-03-02 17:41:59+00:00
1520014597107,29272,32,highlight,4,P5,2018-03-02_P5.mp4,08:07:52,2018-03-02 18:15:10+00:00
1520014742485,25972,46,highlight,4,P11,2018-03-02_P11.mp4,07:12:52,2018-03-02 18:17:43+00:00
1520014946931,26170,60,highlight,4,P11,2018-03-02_P11.mp4,07:16:10,2018-03-02 18:21:01+00:00
f9xju,30124,3580,match,5,P2,2018-03-02_P2.mp4,08:22:04,2018-03-02 18:29:22+00:00
u78XI,30124,3580,match,5,P5,2018-03-02_P5.mp4,08:22:04,2018-03-02 18:29:22+00:00
F4UtR,30122,3580,match,5,P8,2018-03-02_P8.mp4,08:22:02,2018-03-02 18:29:22+00:00
lTCCx,30122,3580,match,5,P6,2018-03-02_P6.mp4,08:22:02,2018-03-02 18:29:23+00:00
7MxZH,30122,3580,match,5,P7,2018-03-02_P7.mp4,08:22:02,2018-03-02 18:29:23+00:00
IRwW0,30122,3580,match,5,P9,2018-03-02_P9.mp4,08:22:02,2018-03-02 18:29:23+00:00
cniMf,30124,3580,match,5,P4,2018-03-02_P4.mp4,08:22:04,2018-03-02 18:29:24+00:00
3aodb,30122,3580,match,5,P10,2018-03-02_P10.mp4,08:22:02,2018-03-02 18:29:24+00:00
EzZK8,30124,3580,match,5,P3,2018-03-02_P3.mp4,08:22:04,2018-03-02 18:29:25+00:00
G56SD,30122,3580,match,5,P12,2018-03-02_P12.mp4,08:22:02,2018-03-02 18:29:25+00:00
zTKVm,30124,3580,match,5,P1,2018-03-02_P1.mp4,08:22:04,2018-03-02 18:29:26+00:00
wEGy5,26678,3580,match,5,P11,2018-03-02_P11.mp4,07:24:38,2018-03-02 18:29:29+00:00
1520017026068,27978,37,highlight,5,P11,2018-03-02_P11.mp4,07:46:18,2018-03-02 18:51:09+00:00
1520017113699,28038,30,highlight,5,P11,2018-03-02_P11.mp4,07:47:18,2018-03-02 18:52:09+00:00
1520018936562,30158,60,highlight,5,P11,2018-03-02_P11.mp4,08:22:38,2018-03-02 19:27:29+00:00
8ZzoY,34096,4353,match,6,P2,2018-03-02_P2.mp4,09:28:16,2018-03-02 19:35:34+00:00
QIFyx,34096,4353,match,6,P5,2018-03-02_P5.mp4,09:28:16,2018-03-02 19:35:34+00:00
68OQa,34096,4353,match,6,P4,2018-03-02_P4.mp4,09:28:16,2018-03-02 19:35:36+00:00
hPuJg,34096,4353,match,6,P8,2018-03-02_P8.mp4,09:28:16,2018-03-02 19:35:36+00:00
bBGry,34094,4353,match,6,P10,2018-03-02_P10.mp4,09:28:14,2018-03-02 19:35:36+00:00
B9XNi,34096,4353,match,6,P3,2018-03-02_P3.mp4,09:28:16,2018-03-02 19:35:37+00:00
IgKpp,34096,4353,match,6,P6,2018-03-02_P6.mp4,09:28:16,2018-03-02 19:35:37+00:00
n9gwk,34096,4353,match,6,P7,2018-03-02_P7.mp4,09:28:16,2018-03-02 19:35:37+00:00
qKcdx,34096,4353,match,6,P9,2018-03-02_P9.mp4,09:28:16,2018-03-02 19:35:37+00:00
MYevX,34094,4353,match,6,P12,2018-03-02_P12.mp4,09:28:14,2018-03-02 19:35:37+00:00
Gd7Aj,34098,4353,match,6,P1,2018-03-02_P1.mp4,09:28:18,2018-03-02 19:35:40+00:00
OCwuQ,30652,4353,match,6,P11,2018-03-02_P11.mp4,08:30:52,2018-03-02 19:35:43+00:00
1520020044678,31258,60,highlight,6,P11,2018-03-02_P11.mp4,08:40:58,2018-03-02 19:45:49+00:00
1520020518557,31704,70,highlight,6,P11,2018-03-02_P11.mp4,08:48:24,2018-03-02 19:53:15+00:00
1520020765660,35440,19,highlight,6,P6,2018-03-02_P6.mp4,09:50:40,2018-03-02 19:58:01+00:00
1520020814722,32076,30,highlight,6,P11,2018-03-02_P11.mp4,08:54:36,2018-03-02 19:59:27+00:00slomo
1520020856218,32114,30,highlight,6,P11,2018-03-02_P11.mp4,08:55:14,2018-03-02 20:00:05+00:00
1520022998324,34194,60,highlight,6,P11,2018-03-02_P11.mp4,09:29:54,2018-03-02 20:34:45+00:00
VqqHj,5844,6800,match,7,P3,2018-03-04_P3.mp4,01:37:24,2018-03-04 15:20:43+00:00
Qyfz6,5844,6800,match,7,P6,2018-03-04_P6.mp4,01:37:24,2018-03-04 15:20:43+00:00
vtzwF,5844,6800,match,7,P2,2018-03-04_P2.mp4,01:37:24,2018-03-04 15:20:44+00:00
eyVQa,5844,6800,match,7,P4,2018-03-04_P4.mp4,01:37:24,2018-03-04 15:20:44+00:00
HIEqy,5844,6800,match,7,P10,2018-03-04_P10.mp4,01:37:24,2018-03-04 15:20:44+00:00
B5wJm,5846,6800,match,7,P1,2018-03-04_P1.mp4,01:37:26,2018-03-04 15:20:45+00:00
9A8Ze,5844,6800,match,7,P5,2018-03-04_P5.mp4,01:37:24,2018-03-04 15:20:45+00:00
2hcPJ,5844,6800,match,7,P7,2018-03-04_P7.mp4,01:37:24,2018-03-04 15:20:45+00:00
DYI0v,5844,6800,match,7,P8,2018-03-04_P8.mp4,01:37:24,2018-03-04 15:20:45+00:00
enbpv,5844,6800,match,7,P9,2018-03-04_P9.mp4,01:37:24,2018-03-04 15:20:45+00:00
ZSGuR,5844,6800,match,7,P12,2018-03-04_P12.mp4,01:37:24,2018-03-04 15:20:45+00:00
1524741909624,1714,30,intro,7,P11,2018-03-04_P11.mp4,00:28:34,2018-03-04 15:20:53+00:00
1524123299585,1714,6798,match,7,P11,2018-03-04_P11.mp4,00:28:34,2018-03-04 15:20:53+00:00
1523826325912,3792,181,interview,7,P11,2018-03-04_P11.mp4,01:03:12,2018-03-04 15:55:31+00:00
1524838044261,4536,422,show,7,P11,2018-03-04_P11.mp4,01:15:36,2018-03-04 16:07:55+00:00
1520942420881,5240,30,match_start,7,P11,2018-03-04_P11.mp4,01:27:20,2018-03-04 16:19:39+00:00
1520180697804,5316,39,highlight,7,P11,2018-03-04_P11.mp4,01:28:36,2018-03-04 16:20:55+00:00
1524838520687,5496,18,highlight,7,P11,2018-03-04_P11.mp4,01:31:36,2018-03-04 16:23:55+00:00
1524837664654,5736,10,highlight,7,P11,2018-03-04_P11.mp4,01:35:36,2018-03-04 16:27:55+00:00
1520181869721,10168,21,highlight,7,P3,2018-03-04_P3.mp4,02:49:28,2018-03-04 16:32:47+00:00
1524835030620,6316,5,highlight,7,P11,2018-03-04_P11.mp4,01:45:16,2018-03-04 16:37:35+00:00
1524493373741,6436,30,highlight,7,P11,2018-03-04_P11.mp4,01:47:16,2018-03-04 16:39:35+00:00
1520182051247,6454,96,highlight,7,P11,2018-03-04_P11.mp4,01:47:34,2018-03-04 16:39:53+00:00
1520183273243,8030,56,highlight,7,P11,2018-03-04_P11.mp4,02:13:50,2018-03-04 17:06:09+00:00
1520183273244,8121,125,interview,7,P11,2018-03-04_P11.mp4,02:15:21,2018-03-04 17:07:40+00:00
qzGeE,12644,7146,match,8,P10,2018-03-04_P10.mp4,03:30:44,2018-03-04 17:14:04+00:00
009Nr,12646,7146,match,8,P1,2018-03-04_P1.mp4,03:30:46,2018-03-04 17:14:05+00:00
VjMiG,12646,7146,match,8,P3,2018-03-04_P3.mp4,03:30:46,2018-03-04 17:14:05+00:00
Wy0vv,12646,7146,match,8,P6,2018-03-04_P6.mp4,03:30:46,2018-03-04 17:14:05+00:00
